final_h,final_t,L,d_sequence,hash
12.71,76,4,"[6, 14, 8, 10]",e640cb3a38c93cbfb3e01cc833a29bb4
12.51,48,9,"[3, 3, 3, 2, 2, 3, 3, 3, 2]",d7c3ac5be47795109f17179c07fec139
12.51,48,9,"[3, 3, 2, 3, 2, 2, 3, 3, 3]",4dfe9616acebca477a6067929a12f792
12.63,84,4,"[16, 3, 11, 12]",c3feca1b56a9fc4197c94a6e578f8bfb
12.51,48,9,"[3, 3, 2, 3, 2, 3, 3, 2, 3]",302801145252fc908d4b3fb886d87a0e
12.51,48,9,"[2, 3, 3, 2, 3, 2, 3, 3, 3]",5946daeb81c08bda3cac07db6429336f
12.83,82,4,"[9, 5, 18, 9]",5485c66f4fe3e74a6370b4c5bf8ca72d
12.09,84,4,"[11, 18, 11, 2]",00bc91d6de844e8fe2785e657cfc4243
12.51,48,9,"[3, 2, 2, 3, 3, 2, 3, 3, 3]",26d466df391dbae0a781abb40d5a927a
12.51,48,9,"[3, 2, 3, 3, 3, 2, 3, 2, 3]",c07bec9ca17f6fa3e5c09b28dd844dc2
12.02,82,4,"[4, 13, 4, 20]",0b9d21530828ac4d95afa51000e92626
12.69,84,4,"[20, 6, 11, 5]",3c0c15cf6c0b5eec1fe37e3ac74fc1cb
12.51,48,9,"[3, 3, 3, 3, 2, 2, 3, 3, 2]",581d14b78b5f1d3de646dbe1f8e5ddbd
12.51,48,9,"[2, 3, 2, 3, 3, 2, 3, 3, 3]",f24d7024fae00c5549728a92e8e3141c
12.29,82,4,"[11, 19, 8, 3]",4673ec02a599fe729fa2567d40da1419
12.21,78,4,"[11, 6, 18, 4]",e16538a4d41b6eee234345a293dd194f
12.51,48,9,"[2, 3, 3, 3, 2, 3, 3, 3, 2]",acdfdc9d5df7003aede8bf0782a1636b
12.51,48,9,"[3, 3, 2, 3, 3, 2, 2, 3, 3]",c43600387191f0ddc29a6f3e0d56a494
12.87,82,4,"[13, 12, 4, 12]",7747a7a78b3bdfe458d4f62593465d7c
12.62,84,4,"[10, 6, 5, 21]",e0c6c4526ee338c697bf12d967988587
12.51,48,9,"[3, 2, 3, 3, 2, 3, 2, 3, 3]",8baf9e3ac42169dab8e9b31230a2aa5a
12.51,48,9,"[2, 3, 3, 3, 3, 2, 2, 3, 3]",e040ca6b832b16fe8aa7a5b7c1a3102e
12.74,82,4,"[5, 8, 9, 19]",a051dbf2cb0586487e46dcd75dd7a59e
12.51,48,9,"[3, 3, 2, 3, 2, 3, 2, 3, 3]",6605ed7cce71855e5de9c1e88a1fdf77
12.51,48,9,"[3, 3, 3, 2, 3, 2, 3, 2, 3]",22554a5e7fb109609676d24bba16e76e
12.51,48,9,"[3, 3, 2, 3, 3, 3, 3, 2, 2]",5ad79330b52948d3049d50330ca2a563
12.24,82,4,"[7, 6, 23, 5]",acf57745a0c0bcc632566633043d762c
12.51,48,9,"[2, 2, 2, 3, 3, 3, 3, 3, 3]",2d4eeeb26303892ec16fbecb592d5109
12.37,82,4,"[3, 8, 17, 13]",cb658cdc932c7c9942f35e7f2b496b7e
12.98,84,4,"[6, 14, 16, 6]",ac90fcc4ed7057273bb926dba7d46358
12.51,48,9,"[3, 2, 2, 2, 3, 3, 3, 3, 3]",ec72cdfe4c11058e2d2af80ecb93e5e3
12.95,84,4,"[4, 11, 15, 12]",cbc17a71b8d4e4ff5e7870add2c40428
12.51,48,9,"[3, 2, 3, 3, 2, 2, 3, 3, 3]",0f24d7f221533faf777b272bbf9a7339
12.51,48,9,"[2, 2, 3, 3, 3, 2, 3, 3, 3]",d2e4d56332fe2fbafb2b3eab6a8eb08c
12.89,84,4,"[8, 5, 19, 10]",46143ff0d01d8e5508363703f1d9a94c
12.51,48,9,"[2, 3, 2, 3, 3, 3, 2, 3, 3]",9f95d2cdd689dc3f48d8e3fa1d3f8ff4
12.64,82,4,"[8, 20, 5, 8]",db1fe2ad22be2c89098b4ce65d454dfe
12.71,98,5,"[4, 9, 3, 2, 31]",99acef792245852dd15352d57d7c2a30
12.19,76,4,"[13, 12, 10, 3]",2852d7c97009485e97212ea874b9b8fe
12.51,48,9,"[3, 3, 3, 3, 3, 3, 2, 2, 2]",00eb399f0cd76b004b8de4e92d3cb3a9
12.51,48,9,"[3, 2, 3, 3, 2, 3, 3, 2, 3]",3ab4759320c9306da0dce5c679ff36f1
12.26,82,4,"[18, 13, 7, 3]",04d5529b5ff4f1327975b75b67264d17
12.64,78,4,"[7, 13, 14, 5]",77f1ca165d4341a50fa9960d68f1b221
12.39,76,4,"[14, 12, 4, 8]",2eddfbedb5e7f88c554758591787571a
12.51,48,9,"[2, 2, 3, 3, 3, 3, 3, 3, 2]",53b59a55e3ed75ef92d63b34ad605854
12.51,48,9,"[2, 3, 3, 3, 3, 3, 2, 3, 2]",e80b9b296c0fb1ee8c70984cbc8eb886
12.94,82,4,"[7, 6, 11, 17]",e68e1421763e62154060f9e4fa0671bf
12.14,76,4,"[10, 15, 3, 10]",9927eecf03321220e0703cafc9163080
12.41,78,4,"[4, 10, 17, 8]",0492fcba4987ac6bf4bcd6faa0c363ee
12.51,48,9,"[3, 3, 2, 3, 3, 3, 2, 3, 2]",45e21fb783de3cbb55acacd19c73b3bb
12.81,78,4,"[10, 5, 12, 12]",eaf66158f52a1b29cd774a599b2075c3
12.68,84,4,"[14, 3, 12, 13]",40129cc1f377fff8d4e641bc683f3ae1
12.51,48,9,"[2, 3, 3, 3, 3, 2, 3, 3, 2]",b3cee1f699f96871dcc48fbc6409cf06
12.42,82,4,"[19, 12, 4, 6]",bfabb11e84be75a8d8fe5f5b3d5fbb8e
12.3,78,4,"[10, 3, 14, 12]",fe2ad774f8e128cbc4d8f0a4a59cacda
12.51,48,9,"[2, 3, 3, 2, 2, 3, 3, 3, 3]",29a8d8c9b4f56b8b39baa46c93f08f3b
12.51,48,9,"[3, 2, 3, 2, 3, 2, 3, 3, 3]",490213a8c218e27a947e90845620a5c8
12.93,82,4,"[8, 13, 5, 15]",7da299760983c1d16efcc9fc291d9310
12.98,84,4,"[18, 10, 5, 9]",7795b181ef56cc01a495232661500367
12.51,48,9,"[3, 3, 3, 3, 2, 2, 3, 2, 3]",fd306519e013c08be8c740d178abbc5f
12.51,48,9,"[2, 3, 3, 2, 3, 3, 3, 3, 2]",35681e10ebefd980ec4feb4de9e84bd4
12.63,84,4,"[12, 3, 16, 11]",a0b09a9122c0299f77ef42412b23d849
12.51,48,9,"[2, 3, 3, 3, 3, 3, 2, 2, 3]",fc0f9c1a97c9c1f335c47eb1ec3566eb
12.51,48,9,"[3, 2, 3, 3, 3, 2, 2, 3, 3]",d8394533eaeefd81a18237cc08c76320
12.95,100,5,"[3, 2, 3, 22, 20]",b833ababfeca7def74737a2ef2b97bd0
12.8,82,4,"[18, 6, 6, 11]",707297fe61f3e638701f133defc22c2c
12.3,84,4,"[21, 3, 10, 8]",00d86e38b2ae6d3e905e6e3245aba1b9
12.51,48,9,"[2, 3, 2, 3, 3, 3, 3, 3, 2]",4cedb5737611aff2ee755a46e250eb4c
12.51,48,9,"[3, 2, 3, 3, 3, 3, 2, 3, 2]",75c66a204d7d61edf668b8438d1bc33e
12.4,78,4,"[5, 10, 18, 6]",3715fcaad7a53ef3e257c3670fb7b54f
12.37,84,4,"[3, 11, 8, 20]",33794504b38df2abcf088217a9c81224
12.51,48,9,"[3, 2, 3, 3, 2, 3, 3, 3, 2]",c64a010846f3e149d9c38c1fbebb894c
12.51,48,9,"[3, 2, 2, 3, 3, 3, 3, 2, 3]",a842ea07ead6f50cb98aa44d4a3f055b
12.61,82,4,"[4, 14, 7, 16]",ccfeb9b117edbf10d56352badab7a617
12.15,84,4,"[12, 6, 3, 21]",ffde1b739193513808f44bd2ed4a86f8
12.51,48,9,"[3, 3, 3, 2, 3, 2, 3, 3, 2]",8850b792f6a9fbdb07649f44e1fea016
12.57,82,4,"[8, 19, 10, 4]",c67a64191e828bda9188c10b9e713ff5
12.94,78,4,"[8, 7, 10, 14]",cdb5fbac43e54bd9ddf3e50ff562a27e
12.81,84,4,"[16, 14, 8, 4]",1faa5a42b27e50889d162a9e5d90dc3b
12.51,48,9,"[3, 2, 3, 2, 3, 3, 3, 3, 2]",099bcdf5d1d3db7331f3358ed486385c
12.51,48,9,"[2, 2, 3, 3, 2, 3, 3, 3, 3]",85997657e053b214dcb67ea228f46e31
12.74,84,4,"[12, 5, 19, 6]",3a4da37cf53914ff8e17b6e5d447b8d1
12.51,48,9,"[2, 2, 3, 3, 3, 3, 2, 3, 3]",ec03d8caf05ce1e43f5597b6e5e5e858
12.69,78,4,"[5, 15, 8, 11]",bd259fa0013be6303c0ddb720c9e2bdf
12.63,82,4,"[18, 8, 4, 11]",df46218902648f012ca516a49ca48d56
12.51,48,9,"[3, 2, 3, 2, 2, 3, 3, 3, 3]",41a32503868b146010ec7f6abb19fa75
12.51,48,9,"[3, 3, 2, 2, 3, 3, 2, 3, 3]",cc7832302a4b9f6aa0dbbd27f3434e5b
12.51,48,9,"[3, 3, 3, 3, 3, 2, 2, 2, 3]",98fa627f2c4f72a8c1752af2526b92fb
12.13,78,4,"[5, 14, 4, 16]",4db26edfb9a98728229a0c819702a6a4
12.46,82,4,"[4, 18, 13, 6]",03c8214bfce95f4433cdfe0b2c5a4a4a
12.65,78,4,"[17, 6, 9, 7]",7502365897965e9021ddd144684faaca
12.51,48,9,"[3, 3, 3, 2, 3, 3, 3, 2, 2]",c5718e0e6c2110f077956b3e510ae8ab
12.51,48,9,"[3, 3, 3, 2, 3, 3, 2, 3, 2]",c6740f7890c127870c9a3c9bcd17dc39
12.46,82,4,"[6, 13, 18, 4]",beeeed2db4335520648afc089ed7e33a
12.39,84,4,"[7, 17, 15, 3]",40e50b8a144adb36dae3a32f4da389b7
12.0,48,12,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",58c01e8ea773523c81f56217a79d2a09
12.78,88,4,"[4, 22, 8, 10]",c38340b27749a6477d28f7c1ddb0f43e
12.64,84,4,"[5, 16, 5, 16]",ab48676ed8aadd9dc1b3411ffd6efd36
12.81,84,4,"[5, 9, 8, 20]",d72b6308df590cbfcc4ec404a59ad8d6
12.81,62,5,"[4, 5, 8, 9, 5]",abff522e4bf22298464de04a68def491
12.73,88,4,"[14, 9, 18, 3]",93ad170f6f86e2a3b93693aece50efa4
12.75,88,4,"[11, 11, 3, 19]",0d6d7a06c1f9a45d8223dca20c16e49c
12.78,88,4,"[13, 18, 3, 10]",0e0883602b5e92210a3ff02cc61a2ed2
12.69,94,5,"[3, 23, 3, 2, 16]",4e3a6d0562484420f83826c422c009ac
12.0,80,4,"[4, 16, 4, 16]",4d60e61e0f3479168bc7f44f0aaca6cc
12.76,88,4,"[17, 17, 4, 6]",eb2bfefb24f4fa0917df3a7fe6025252
12.3,84,4,"[5, 4, 12, 21]",574e6b25c6adb8a10aba92da66ac79e2
12.75,88,4,"[15, 3, 17, 9]",1dd3deb79605df88b0dead946ac3471b
12.22,80,4,"[17, 4, 14, 5]",c08a28bca0d26446172842af3bcdd292
12.78,88,4,"[10, 3, 13, 18]",584468245a24855e727553d6c691a37b
12.06,84,4,"[3, 5, 19, 15]",ec2ed89baa190b7d2d23d9e611d65f26
12.75,88,4,"[3, 9, 16, 16]",dc6fb32aaf42ab69230aecdbd8b7f471
12.48,84,4,"[17, 8, 3, 14]",c934f52f4b94ee988205c68aced41e34
12.0,80,4,"[16, 4, 4, 16]",db8bc14ba8330766e285a3d0e072dec5
12.75,88,4,"[4, 18, 6, 16]",dd872a29d5c2732ac3777e744e5b1231
12.23,80,4,"[20, 4, 10, 6]",2f480bb3720376ef8fe49a6e88aa805b
12.62,84,4,"[6, 21, 10, 5]",d97490905a554f1b5e3cd5e8aea6abe7
