final_h,final_t,L,d_sequence,hash
16.68,64,12,"[3, 3, 3, 2, 2, 3, 3, 3, 3, 2, 2, 3]",b4e8f96ef4b7cac7ab572e31c364cf7f
16.31,96,5,"[10, 10, 9, 10, 9]",b3e43a64d864b5c7d971c85fdfe65489
16.78,74,7,"[6, 5, 5, 5, 6, 5, 5]",b6f5cf253ea1915dd5b87023c59b0edb
16.75,66,9,"[4, 4, 4, 3, 3, 4, 4, 4, 3]",5a6034df647e9616df9b0512b0712d1b
16.08,106,5,"[19, 4, 13, 7, 10]",5ccb58ba4cb4bb063fd26cf36b86dc77
16.72,104,5,"[10, 14, 11, 10, 7]",24543636a078ec2e70fc485faa26d1a2
16.68,64,12,"[3, 2, 3, 3, 3, 2, 3, 2, 2, 3, 3, 3]",3c17867a9d318925c25e7e8e3561c9b5
16.05,96,5,"[15, 7, 9, 9, 8]",0e88c7b77630259ea5d27ce956379fab
16.24,102,5,"[13, 11, 6, 15, 6]",e9eb737092d6298e4058a6d1ac60ea17
16.31,96,5,"[9, 10, 9, 10, 10]",f072c9d68b6d611581cf9b3f0d83df87
16.78,74,7,"[5, 5, 5, 6, 5, 6, 5]",6b91e3da41b4b2f7b352be6bd76b3633
16.75,66,9,"[4, 3, 4, 3, 4, 4, 4, 4, 3]",d1fdea704aeec1fd6be527c0e91afa35
16.5,106,5,"[17, 10, 7, 6, 13]",4dd6ed7a3047d88b5557e91e8b029cf4
16.35,118,6,"[8, 29, 2, 5, 3, 12]",907a4d4483b68d770dd160a3bb3df663
16.65,104,5,"[12, 10, 13, 6, 11]",9e3cd77a53fcd03e2774934abdae43f5
16.68,64,12,"[3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2]",a8858e190ac2c9f4f4ebec1d9b9098ec
16.5,102,5,"[13, 12, 11, 9, 6]",de23146aa8d0d9a39cd9d7dd3b3cbccc
16.31,96,5,"[9, 10, 10, 9, 10]",e3a2a77d207b4e3c28b470cb6b6a5a68
16.74,74,7,"[5, 5, 5, 5, 5, 5, 7]",17ecbf594fc9acbc187e4aec3413606e
16.75,66,9,"[3, 4, 4, 4, 4, 4, 3, 4, 3]",7210167d7febde134de2799fd4967334
16.7,104,5,"[9, 10, 13, 7, 13]",7556626098a7b42c16c837c57c1a3d44
16.68,64,12,"[3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 3, 2]",6e2287fd60aaeaddf1cedd037abd1d4b
16.74,74,7,"[5, 5, 7, 5, 5, 5, 5]",b2e0a5cdc0d1ce2b4dd22e420f2515db
