final_h,final_t,L,d_sequence,hash
13.99,96,5,"[20, 4, 4, 3, 17]",7900b244c151b02d1dd75b6581aa7ea7
13.84,88,4,"[11, 11, 11, 11]",1d9b99f1e69403739714d2e15d181eb2
13.81,102,5,"[29, 3, 11, 3, 5]",4dabf9f16be3909ca777d4082e715647
13.22,90,4,"[17, 14, 4, 10]",5b881eaa68b62f5515dc1da22349d454
13.36,98,5,"[2, 5, 3, 14, 25]",1b13d78f1e4610975c35ee3106dcf013
13.59,66,5,"[6, 7, 7, 7, 6]",0c5abf7467cab0f75206c67736af0e38
13.26,90,4,"[6, 16, 6, 17]",347c85b2cf9b8e1f3439f17ac94511d8
13.86,100,5,"[9, 25, 3, 2, 11]",c416ad6ba701cbc07e52d953d693a072
13.59,66,5,"[7, 7, 6, 7, 6]",954a89e956a88c833b3b6fe146904cad
13.22,90,4,"[7, 16, 17, 5]",174e3dcd548fce22af289a498c22ea05
13.59,66,5,"[7, 6, 7, 7, 6]",2df14aac97c54d3397b0c94d9bb6956a
13.23,90,4,"[4, 15, 10, 16]",4df45a558287b3ff10bc39c318689e89
13.59,66,5,"[7, 7, 7, 6, 6]",245d85a237e9c0713edbd9b913eb0d13
13.02,84,4,"[5, 16, 13, 8]",6f85e0ff91dbf88dd21d526fdeb4b64e
13.27,90,4,"[13, 5, 8, 19]",7f78c5c9fae93caa681a29f11d0ea684
13.59,66,5,"[6, 7, 6, 7, 7]",3b8615757c8c4b319415a367c54f6a84
13.22,90,4,"[17, 10, 4, 14]",128016c58ca0e36d6cefb49e4705fc3f
13.31,98,5,"[26, 2, 5, 3, 13]",22200944bd606cfc122d2ee8b3ae9026
13.59,66,5,"[6, 7, 7, 6, 7]",350a5dcba59428810fc6841db9c95b60
13.12,78,4,"[11, 9, 10, 9]",3352581cd4e3bb78ff269a1a21d2ed83
13.16,84,4,"[17, 10, 6, 9]",039bcee98b164ea3a3d61c27e4529b4b
13.27,90,4,"[4, 14, 16, 11]",4d6781455ff7dead9ad030d7c5b8bc06
13.59,66,5,"[7, 6, 6, 7, 7]",ac725e050a62bad84369b268cc57ee8a
13.09,84,4,"[7, 13, 16, 6]",1c8d10b5c4bb569004873e945c05b3d8
13.27,90,4,"[11, 16, 14, 4]",3bc82ab9fcfc509b7db7ab1ddf9fad06
13.23,90,4,"[5, 20, 12, 8]",20668e51425af58b942e636c2772658a
13.21,90,4,"[18, 11, 4, 12]",2fb60cd30227ad379c794d9ee366829d
13.29,90,4,"[4, 12, 13, 16]",b4da445a53c413a704c43446980c2078
13.07,82,4,"[13, 12, 11, 5]",90e52e4867ede8bbabe09203da0d9c54
13.98,98,5,"[28, 4, 4, 9, 4]",2f61e7a53a1b677035efbf6be300ac6b
13.24,90,4,"[21, 6, 11, 7]",1d97a6935c732a3c4935fbfc4e337c5e
13.43,100,5,"[3, 3, 3, 24, 17]",180e406d9b0284870ebef1898efc117e
13.4,84,4,"[10, 7, 14, 11]",109c482db6e4eb5ed60d26d8435845be
13.23,90,4,"[19, 6, 6, 14]",f4a536db7eef9bdf8bfb7265e031535d
13.05,84,4,"[17, 10, 10, 5]",eca4d11202e8ad3377a5ca28027c906c
13.19,90,4,"[13, 18, 4, 10]",6340bbe79913c7212e2d34abfe9c1a24
13.01,82,4,"[9, 9, 6, 17]",fe344e3ec075fd5c92f6c3cfea9dbaec
13.23,84,4,"[17, 9, 9, 7]",e310f6e1a9d33d4591fe338e87747c80
