final_h,final_t,L,d_sequence,hash
20.09,110,7,"[9, 9, 9, 8, 4, 4, 12]",42215ff3f1e382ab23d09ccb5f3dcdb1
20.46,84,10,"[5, 5, 3, 5, 4, 4, 4, 5, 4, 3]",077d204b0b79e52b64f84ac55cc3afa7
20.17,110,7,"[13, 9, 6, 10, 7, 4, 6]",e0bb08ede489220140162251b6c88372
20.49,84,10,"[4, 4, 5, 4, 4, 4, 4, 4, 3, 6]",4f01ef15d98fb64e98dc0230e2b60dd7
20.15,110,7,"[7, 7, 8, 9, 11, 10, 3]",70b53a3e2dd1c254cafd913dad1812d5
20.49,84,10,"[4, 3, 4, 4, 4, 4, 4, 4, 6, 5]",6a30b71cc6321edd3508b28bdf257cb7
20.15,110,7,"[5, 11, 11, 7, 5, 5, 11]",e60b331250a58393823c1beb8358a5bb
20.4,84,10,"[5, 4, 4, 4, 5, 3, 6, 4, 3, 4]",54e05ab1f8d61c1fa8e0cd1fa026e657
20.17,110,7,"[8, 5, 4, 8, 12, 11, 7]",58c3454cfea09d7aa3aa845ae06e9edd
20.49,84,10,"[4, 4, 5, 4, 4, 4, 4, 6, 3, 4]",46bd1598cec931048275ffe9dcd33466
20.15,110,7,"[7, 10, 8, 9, 11, 7, 3]",4d1ec17774856b596baf082ebc22032b
20.46,84,10,"[5, 4, 4, 3, 4, 5, 5, 3, 4, 5]",0380184e6ade9165cb7ac3c84754f25c
20.18,110,7,"[6, 12, 5, 10, 6, 5, 11]",7d2f6b1fd8dc4684952e1b91e6a93a12
20.4,84,10,"[4, 4, 3, 4, 3, 4, 4, 6, 5, 5]",e9cf606f2f44ad745ec94a65732632f4
20.12,110,7,"[8, 6, 11, 10, 9, 8, 3]",e941e145b3ab080869d05ae3095aff87
20.4,84,10,"[6, 4, 4, 4, 4, 4, 3, 5, 3, 5]",b972acb6c465c828cc56d740d8abf2ec
20.17,110,7,"[5, 8, 7, 7, 15, 5, 8]",bb41fb0d95baeaf32abc658045fdc327
20.49,84,10,"[4, 6, 5, 3, 4, 4, 4, 4, 4, 4]",0fd5a9e2a9bdd64e99ae3357c042c1dc
20.12,110,7,"[9, 3, 6, 10, 8, 8, 11]",488007c59f190a3ca8e008beff859d9c
20.46,84,10,"[5, 3, 4, 3, 5, 5, 5, 4, 4, 4]",38b3933bf1349dc48215cd859541ecb2
20.15,110,7,"[9, 8, 6, 3, 9, 10, 10]",3e9d0ddbcacd54db1851c184afe4d6eb
20.46,84,10,"[3, 5, 4, 4, 4, 5, 4, 3, 5, 5]",b110d8090f0c9c7ef1478b924af7ee69
20.1,110,7,"[7, 11, 9, 6, 9, 3, 10]",5a1f9ec34250c489b4f7e84722537a6c
20.4,84,10,"[3, 3, 4, 5, 4, 5, 4, 4, 6, 4]",ab3f4ce9396ffcdc327ad7d534920606
20.14,110,7,"[12, 5, 5, 5, 12, 8, 8]",d14a1905b57b6fd6f00c97b1ffc36449
20.49,84,10,"[4, 4, 4, 4, 5, 4, 3, 4, 6, 4]",7fd2ec5932955e4b27b0bc69da8a66da
20.13,110,7,"[9, 5, 13, 7, 10, 7, 4]",d37c704b5650fd8a21e35457799b5b69
20.46,84,10,"[3, 5, 4, 3, 4, 4, 4, 5, 5, 5]",642e984d67e092a96c295f5ec293e091
20.1,110,7,"[9, 10, 7, 3, 6, 9, 11]",0ca210d5f453df5848446d383723f2bd
20.4,84,10,"[4, 5, 5, 4, 3, 6, 4, 4, 4, 3]",86ab635b2a87af39a4f9bf137559cff8
20.17,110,7,"[13, 8, 9, 5, 7, 4, 9]",4166fa37ebdd1e79253002f24629015b
20.46,84,10,"[3, 5, 4, 4, 5, 3, 5, 4, 5, 4]",cfcc2f66589d6cc264d09331f642aa04
20.15,110,7,"[11, 7, 10, 3, 9, 8, 7]",ca709e805bcaba81b828179a328489be
20.46,84,10,"[5, 4, 5, 3, 4, 5, 4, 4, 5, 3]",425db59f3360246254955856a2ec986e
20.1,110,7,"[7, 10, 4, 10, 10, 4, 10]",d51f186cc13c79cb1c2f57f740fb8490
20.4,84,10,"[5, 5, 4, 4, 3, 3, 6, 4, 4, 4]",69e3ebf1960f8e3501003c5ba584a6a7
20.09,110,7,"[3, 11, 8, 8, 6, 11, 8]",5b14940d6a6781fdb330875a093c70a3
20.4,84,10,"[3, 4, 4, 3, 5, 4, 6, 4, 4, 5]",d2dc27ad26ae266189d701c027b64656
20.12,110,7,"[8, 11, 7, 7, 11, 3, 8]",bb258496c56d9843edbeba55a78d8811
