final_h,final_t,L,d_sequence,hash
11.26,82,4,"[18, 17, 4, 2]",331d471883db761d8f4199b24e3034b8
11.11,78,4,"[6, 8, 23, 2]",df5a035384abfa5fa99f8e1e3e32dc8a
11.88,76,4,"[18, 7, 10, 3]",85d067142f3d5581853a27e915f198f6
11.17,78,4,"[5, 11, 2, 21]",ba024edaeb9a8595fb58d34bd550b714
11.88,76,4,"[15, 3, 14, 6]",b0d39a9ffc2b675fd691f16c7f700648
11.11,78,4,"[8, 23, 6, 2]",a671b3a8533bbad46e4529de9a10eed5
11.91,76,4,"[20, 6, 4, 8]",3dc7429fda37017d467822f43c661173
11.94,76,4,"[11, 7, 17, 3]",343b1062a379e64a0563a0acf8476807
11.17,78,4,"[24, 8, 3, 4]",9773e5f1830e78598156b85d74d3dc73
11.88,76,4,"[3, 10, 7, 18]",bb309cb2c105e05592d7d547e63213bf
11.88,76,4,"[14, 3, 15, 6]",3e0a45432f31e1deb5fc7dcf904825f0
11.66,82,4,"[15, 6, 2, 18]",eae6a751c71f2ac054a1a02facacedfb
11.17,78,4,"[11, 2, 5, 21]",a33662e3a9deca1b6bfccd9412b80236
11.88,76,4,"[6, 14, 3, 15]",41e67ea4db3e5ca56fabb6711289c2f8
11.17,78,4,"[2, 21, 5, 11]",659532534dc499343ce991a5919d82f7
11.84,84,4,"[17, 18, 4, 3]",1cafaf0c2b97498cb85e8d0dca87a769
11.19,78,4,"[20, 3, 13, 3]",84fe6d9317ad7cc3b28a20b620e57917
11.87,76,4,"[13, 6, 16, 3]",6935c4fca716424afe170a96220c5de6
11.5,82,4,"[22, 6, 2, 11]",c734962f6c415f0d56f09da023d61381
11.98,78,4,"[6, 3, 16, 14]",2bee03b2f7e50ffa5993a19fdcaf3b8c
11.87,76,4,"[3, 16, 6, 13]",2e2aa7f4148c650f4a4c619adffbc62c
11.17,78,4,"[2, 5, 21, 11]",7a867a452fccf89d59f32f8c5879c3c9
11.97,76,4,"[5, 5, 20, 8]",ec1b8fbf037a2a588b7b82f26d9d71b0
11.3,78,4,"[6, 2, 21, 10]",33856c1b6186275bc8930c35d5641cdc
11.87,76,4,"[6, 3, 16, 13]",398cbc8df6a57e841a363d245042eeae
11.91,78,4,"[3, 20, 8, 8]",58352df4be787193ea0c548b11a0ec11
11.75,82,4,"[10, 5, 23, 3]",334ac546aad0e7a4c3582948730425e5
11.57,84,4,"[16, 19, 2, 5]",d01029e7179ef65e64a81d3305f91826
11.87,76,4,"[16, 6, 3, 13]",8e928bbc39154d4b3cebdda27586099d
