final_h,final_t,L,d_sequence,hash
14.68,56,10,"[3, 3, 3, 3, 3, 2, 3, 3, 3, 2]",668e03a797574774a595e148df1a83c7
14.09,54,10,"[3, 3, 2, 3, 2, 3, 3, 3, 2, 3]",c08c1195fe60a9db798c5f385310db72
14.97,62,7,"[4, 5, 4, 5, 4, 4, 5]",0b21742cd0c447645d215f5fa168be85
14.13,72,5,"[5, 8, 8, 7, 8]",80ac2da3af6664d3ae29fefcb0377aab
14.98,68,6,"[6, 5, 6, 6, 6, 5]",14c78aaeeb0d0c752dce2b9f2f65b208
14.68,56,10,"[2, 3, 3, 3, 3, 3, 3, 2, 3, 3]",9aeeb67b1260a176ebf91706a730e528
14.09,54,10,"[2, 3, 2, 3, 3, 2, 3, 3, 3, 3]",5e01fd1755ab433f5fbf20ad1d242692
14.97,62,7,"[5, 4, 5, 4, 4, 5, 4]",491a50cfbf6c4110ce8b00deda14ce80
14.76,98,5,"[3, 7, 12, 22, 5]",dcb2fdb534bda3a2f3fc1c15045e68fc
14.11,72,5,"[7, 9, 5, 7, 8]",e7aadd8bb46d66c471b2867a0f8387cc
14.98,68,6,"[6, 6, 5, 5, 6, 6]",46595f9528f23f210978d6f507c239c8
14.17,96,5,"[11, 21, 2, 4, 10]",b94971046e576d9970d69f151810044e
14.68,56,10,"[3, 3, 3, 3, 3, 2, 3, 3, 2, 3]",5a93ddd530dcd191d51e5d8d2a70136d
14.09,54,10,"[3, 3, 3, 2, 3, 3, 2, 3, 2, 3]",938e1ae7fefa69c522d5f8e1cafe4576
14.97,62,7,"[5, 4, 4, 4, 5, 4, 5]",852ba0ec9859a4a5448cc439c3d306f0
14.05,72,5,"[9, 5, 9, 6, 7]",0d1cb868953a7fcd51ade04c5bbdea06
14.98,68,6,"[5, 6, 5, 6, 6, 6]",f132762c5cce3a179abe991f3b91e567
14.78,100,5,"[11, 17, 5, 15, 2]",1a96203039e11e8657956bbbfb1def76
14.56,106,5,"[4, 2, 14, 9, 24]",9132681653f53f5e90c4b5fc54d23394
14.85,96,5,"[2, 12, 16, 11, 7]",f87dc52f714ea6e2a84a0066af33834b
14.68,56,10,"[3, 3, 2, 3, 2, 3, 3, 3, 3, 3]",f53c8f0331621d1293a7a0e0579fd46b
14.09,54,10,"[3, 3, 3, 2, 3, 3, 3, 2, 2, 3]",efb4e300f75e7e192bf501c62674e944
14.97,62,7,"[4, 4, 5, 4, 4, 5, 5]",04859f14669f8ac5c93d278592827606
14.13,72,5,"[7, 8, 8, 8, 5]",443eac999a95f1a52e70cc4738885066
14.98,68,6,"[5, 6, 6, 6, 6, 5]",3dcee60ce43c01aad693290f444e8018
14.81,100,5,"[16, 20, 3, 6, 5]",68d00e34220134bc41aa559763016c84
14.56,106,5,"[4, 24, 2, 14, 9]",e849987ed513c473a15b0e23fc0a1d36
14.01,96,5,"[25, 11, 3, 5, 4]",058cc397a9925ce9cebefc2dd7df6921
14.85,98,5,"[3, 21, 13, 6, 6]",30dadb331f2639896298ff46f9986bdb
14.68,56,10,"[3, 2, 3, 3, 3, 2, 3, 3, 3, 3]",8e076c9dd4fa36f384fa3a3d94d9b615
14.09,54,10,"[2, 3, 2, 2, 3, 3, 3, 3, 3, 3]",f826a1a9f3ba232336ee3c18601bbd39
14.97,62,7,"[4, 5, 5, 4, 4, 4, 5]",cee7d44ae2e3aa1e4e83974a06a08b1d
14.13,72,5,"[7, 8, 5, 8, 8]",88ed932f81d3fd6281be6900b8b5fe2b
14.98,68,6,"[6, 6, 5, 6, 5, 6]",b0b3462207a1c3538ec78b4ad3ec74d7
14.51,106,5,"[18, 3, 2, 12, 18]",f8a96703e23868b603ae49d07827a29a
14.95,96,5,"[11, 4, 20, 9, 4]",2285d370f36ff6fb77d55721646296e3
14.09,54,10,"[3, 2, 3, 3, 2, 3, 2, 3, 3, 3]",a56d6794e8e9edb9fdd2685940b94284
