final_h,final_t,L,d_sequence,hash
27.8,122,12,"[6, 4, 5, 4, 6, 5, 6, 5, 6, 3, 5, 6]",305db1a3894e8d0aa1ed42f20ca3294b
27.81,122,12,"[4, 4, 4, 5, 5, 7, 6, 5, 7, 5, 4, 5]",31b5e766dbc0c88fe5cedc5431e25621
27.8,122,12,"[6, 4, 5, 6, 5, 3, 5, 6, 6, 6, 5, 4]",4af643397011f130ecb74d6e543a593b
27.75,122,12,"[6, 4, 4, 4, 4, 6, 7, 5, 5, 4, 5, 7]",1557dafbe38f6d63322b470ff033d5c1
27.82,122,12,"[5, 5, 5, 6, 7, 5, 6, 5, 5, 5, 3, 4]",3b95767ac22fddb2abb5231c80b2878d
27.78,122,12,"[5, 4, 4, 5, 5, 4, 6, 8, 5, 4, 5, 6]",bea22fae2fe768ed4838406fe4a49ed5
27.82,122,12,"[6, 5, 7, 5, 5, 5, 3, 5, 4, 6, 5, 5]",01f9cb988e31e21478b6ab13929a672e
27.82,122,12,"[6, 5, 6, 5, 5, 5, 5, 5, 4, 7, 5, 3]",fdf3d474920218b2a6fff5b046b8cfc8
27.82,122,12,"[6, 7, 5, 6, 3, 4, 5, 5, 5, 5, 5, 5]",389136775367790afb7c00dd5f0cf7d2
27.82,122,12,"[7, 5, 3, 5, 4, 5, 5, 6, 5, 5, 5, 6]",cd6e08329dfa7e3d16fb3174428bafeb
27.82,122,12,"[5, 5, 5, 5, 5, 3, 7, 6, 5, 4, 5, 6]",c657d785c09034d5dd2bca450d4a0e44
27.82,122,12,"[5, 6, 5, 6, 7, 4, 5, 5, 5, 5, 3, 5]",c4f5ce48639eeaea308175ea9217725f
27.76,122,12,"[7, 5, 5, 6, 6, 4, 5, 6, 4, 5, 5, 3]",82bc08b7ab4c337f6b45c9b23778ab07
27.8,122,12,"[6, 4, 6, 6, 5, 5, 5, 4, 6, 5, 6, 3]",44724d57ed4af36dee68a475984f87cb
27.8,122,12,"[3, 5, 6, 6, 5, 6, 5, 6, 4, 4, 5, 6]",0dbf27afa3965d380b007121847062f0
27.78,122,12,"[6, 6, 4, 5, 5, 5, 5, 4, 4, 4, 5, 8]",feb0518bebb1576510571bc69079d35c
27.76,122,12,"[6, 5, 5, 6, 5, 7, 6, 4, 5, 4, 3, 5]",bfd7fe59c58067c1a0e90fa1624307a6
27.75,122,12,"[4, 5, 5, 8, 6, 5, 5, 3, 5, 5, 5, 5]",8fcdfb6d217791f211fc2122d9b913f4
27.75,122,12,"[3, 4, 5, 5, 5, 5, 5, 8, 5, 6, 5, 5]",502b7e197a77a385acd94a2c1e93e7e3
27.76,122,12,"[5, 5, 6, 4, 5, 4, 5, 5, 7, 6, 6, 3]",1c0c970f57490c6a702eefb3da47e791
27.76,122,12,"[4, 5, 7, 5, 4, 6, 6, 5, 5, 5, 6, 3]",3fe3971169842fdd6554a1f5439761ea
27.82,122,12,"[5, 5, 6, 6, 7, 5, 5, 5, 3, 5, 4, 5]",cb6e3d38919d7ad3d0710bd951ab4cc5
27.8,122,12,"[5, 6, 6, 6, 5, 6, 5, 4, 4, 5, 6, 3]",a42a24d6b6010d16dd393e78f615a23d
27.82,122,12,"[6, 4, 3, 5, 5, 5, 5, 5, 5, 6, 7, 5]",90c4c4221341f4a456ea94af1adc6d44
27.78,122,12,"[5, 6, 4, 5, 6, 5, 5, 5, 4, 8, 4, 4]",567fcb8aa9728b26a09f82f0d73031c0
27.8,122,12,"[6, 6, 6, 5, 5, 3, 5, 5, 6, 6, 4, 4]",31cfb5c32a1a58a5d07fc2574f909c3b
27.76,122,12,"[3, 4, 6, 6, 5, 5, 5, 6, 5, 5, 4, 7]",44528110be4cdc682534d7355962fab7
27.8,122,12,"[5, 4, 6, 6, 5, 5, 3, 6, 6, 6, 4, 5]",b96252ffc7f098b1b16952d2a68f4560
27.76,122,12,"[5, 5, 6, 4, 5, 3, 6, 6, 4, 5, 7, 5]",ecc82285c6e8f10c5ea7241e026fa232
27.76,122,12,"[6, 4, 3, 7, 6, 5, 5, 4, 5, 5, 5, 6]",5ab4f5a06e000e2bd31470c62e4e516c
27.76,122,12,"[6, 6, 4, 5, 4, 5, 5, 7, 6, 3, 5, 5]",abbd84e2ba16f8097e70f7d0075ab056
27.82,122,12,"[5, 5, 5, 6, 4, 5, 3, 5, 6, 5, 5, 7]",d6d925f2addd2ed78ac627d7fd48b1cf
27.51,108,15,"[3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 3]",f9a40e3c3de71c0ebee395fc242f3e65
27.51,108,15,"[3, 3, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4]",a49a7c33c975dbbb2429aea6887439f4
27.51,108,15,"[3, 3, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4]",68d7232eb89d99a81cb729d084f57e7b
27.51,108,15,"[4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 4, 3, 3, 4, 4]",8c035514bf9c3460b0a4b36a449ccd19
27.51,108,15,"[3, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 4]",c4a2d24034353f2b3114dafb869eb212
27.51,108,15,"[4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3]",892ac280c968c81ff5e8d8a798a61410
27.51,108,15,"[4, 4, 4, 3, 4, 3, 3, 4, 4, 3, 3, 3, 4, 4, 4]",7c333b72079913266c349f1f96c65a40
27.51,108,15,"[4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 4, 3, 4]",56b4ff71a3a9aad8e1ab0d3bf9777a3e
27.51,108,15,"[3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 3]",519f7edc29f51fba29584664ef499093
27.51,108,15,"[3, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4]",18a3a9634e71b1d0ed5feaaaca149008
27.51,108,15,"[4, 3, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 3]",aaa5dd382775a68c47d17ef7b8700852
27.51,108,15,"[3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4]",61e639d83d228fb5794ae2ceca732082
27.51,108,15,"[4, 4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 3]",ce1dff5724203f023e624a8b56dbd7b7
27.51,108,15,"[3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4]",18b15f585e740ff9b142057549d5046b
