final_h,final_t,L,d_sequence,hash
6.25,46,2,"[19, 4]",c85392b70b4539c4efd516a89f3861dc
6.32,42,2,"[5, 16]",76a9367166c09933987e2fad9e9f0ae9
6.98,46,2,"[14, 9]",83e94cf79c4b1195d260a46aac41f2a6
6.09,42,2,"[17, 4]",19faea6e5f58fd2b7a9417d24ed00223
6.81,46,2,"[7, 16]",4a5392a3eae64f3698811c2ffd11cad1
6.78,42,2,"[11, 10]",096835f57f600b90754430f86d37ce6e
6.09,42,2,"[4, 17]",25237c497a94b6fe030c3a4305123106
6.61,42,2,"[7, 14]",0e9346afa765b299a9f991cb514dc788
6.67,46,2,"[17, 6]",6c69c3be17912fbf1dc661409db38888
6.7,42,2,"[8, 13]",5f8524af24afa205292c4919947cd757
6.75,42,2,"[9, 12]",4c98f680590e695c0a52290502f4d098
6.49,42,2,"[6, 15]",72d2be06c90f7608ce138630a9a6b862
6.98,46,2,"[9, 14]",8be76c6dabb08ed7e83c7af10a771faf
6.91,46,2,"[15, 8]",09c8b2338ea819c1387cceb4150ab215
6.32,42,2,"[16, 5]",86b8029f90b6f9409b6e347333542a49
6.81,46,2,"[16, 7]",e7d97596366972deb7502c84437ab07b
6.49,46,2,"[5, 18]",623e54c908c44617f03b6dd63717d70d
6.25,46,2,"[4, 19]",6ab43ff9f83ffcb759a040ef9e0258fb
6.49,42,2,"[15, 6]",022f255782143ff62ab6bc35b5d75438
6.86,66,3,"[2, 2, 29]",ce4f82904915448d8e1a9a7b7aa318d6
6.61,42,2,"[14, 7]",a415e64080d567c542e9470154d11991
6.7,42,2,"[13, 8]",6fd6f9febf1ed84e4036085eb01ccea9
6.7,60,3,"[2, 26, 2]",7330b6a2a425a621733c94677b0a8e08
6.81,64,3,"[2, 28, 2]",b449baddefd4a067602cda6fa60da692
6.81,64,3,"[28, 2, 2]",b6b12bed80692fd38d4de77cc8a8d93a
6.52,54,3,"[2, 23, 2]",189397625814f2e824164cf898566eb2
6.75,26,5,"[3, 2, 3, 2, 3]",372a3408de100a62924a700866117a33
6.39,38,2,"[12, 7]",19e220a25c0b44ef86c3edef3bf77fd1
6.46,38,2,"[8, 11]",09b5a5227e47c800f14ec97b11373573
6.29,38,2,"[13, 6]",9d43da417bacb55ee6cc5dec1d7a5f42
6.46,38,2,"[11, 8]",75cfc8d13583917fde7c8997815136bd
6.75,26,5,"[2, 2, 3, 3, 3]",a3979554f5084d14960ddbfa874496a2
6.13,38,2,"[14, 5]",d98d73848a06f496ee306f185e462000
6.34,36,2,"[9, 9]",4a9415ddad3481be76c29bf7965f7a1f
6.75,26,5,"[3, 3, 2, 3, 2]",1ca6701b7d2bf39d251ac2d3e2f3074e
6.75,26,5,"[3, 2, 3, 3, 2]",b658707382f80d52a77aa01308d50690
6.75,26,5,"[2, 3, 3, 3, 2]",ecacc2c31a8c1b7e96d46209401393a9
6.75,26,5,"[3, 3, 3, 2, 2]",b7d9c53b16c01a69c6e459e994a41fb7
6.29,38,2,"[6, 13]",b191314ab2032a3f400b0d14837e4a0c
6.13,38,2,"[5, 14]",c8aee45a5b571b9b6b7b452de966bed5
6.75,26,5,"[3, 3, 2, 2, 3]",1bc006b11b0b34b5488a36089654d0be
6.75,26,5,"[3, 2, 2, 3, 3]",4e7397b23978f16dc46221b06929f56b
6.39,38,2,"[7, 12]",c45c91322ca818dfa28e5a58b3bb9f98
6.75,26,5,"[2, 3, 2, 3, 3]",b32adcb63780ad4ba8b15053f5d30c21
6.75,42,2,"[12, 9]",ecdd36df8bfdb920690fea3ac3b4cebe
