final_h,final_t,L,d_sequence,hash
15.23,98,5,"[6, 3, 17, 14, 9]",9f0959b14453fa507752010ee98593c3
15.68,60,11,"[3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 3]",c5581d619d7a05c8ce869e743d17bbd2
15.51,86,5,"[9, 9, 9, 8, 8]",3fe37cf2ace43388aaa40bd850af9fce
15.44,100,5,"[8, 4, 22, 7, 9]",dbed1ad25726021f4837fc12a0eedaef
15.43,76,6,"[5, 7, 10, 3, 7, 6]",1e06fcdabc9d2f067b24845d84723281
15.18,72,6,"[6, 7, 3, 7, 7, 6]",72949a8708fb75a4da0cdd9e348eb79d
15.09,58,11,"[3, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3]",ca1e9c4d7ec55d05e5076ad815b5848b
15.1,98,5,"[4, 4, 20, 10, 11]",36a69048bd432e189deeb9bbd018a786
15.68,60,11,"[3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2]",5573cf8adfd9589ef33bb6cf0bbb4411
15.51,86,5,"[9, 8, 8, 9, 9]",40ce7861169b534b56ba1c135a4129b6
15.5,76,6,"[5, 7, 6, 11, 4, 5]",978d87b1e393c983b24d0b7cf3e1fcb4
15.25,72,6,"[6, 4, 5, 9, 6, 6]",68f51744ad3e9bd78c320ae7df95c71b
15.09,58,11,"[2, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3]",f5ad110650272f9895edd5b3d79718ae
15.8,98,5,"[12, 7, 17, 5, 8]",32049baec88586937f1359bf414f4479
15.68,60,11,"[3, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3]",261ff3d8e04a951133b36e269bee7082
15.15,98,5,"[20, 13, 7, 4, 5]",ecc5c5c9162c07651c61cb46cf097863
15.51,86,5,"[9, 9, 8, 8, 9]",01bb28dc3221e292b77f7cbadd19eb68
15.49,76,6,"[10, 6, 4, 4, 6, 8]",4ee240911ce61a1fe17ed54641489005
15.26,72,6,"[8, 7, 5, 7, 4, 5]",41e5fff07a3558856b9bcd83f9b19557
