final_h,final_t,L,d_sequence,hash
5.75,42,2,"[3, 18]",7a9ef9286c0a629baa130c2e8de43ac0
5.39,46,2,"[21, 2]",9f69ace860f04967e770cf6dc1cd578b
5.91,46,2,"[3, 20]",799323065b5e516fd1c425133183474a
5.91,46,2,"[20, 3]",d28ffeb27f92308c9b4bcb1eb1f5ed4b
5.32,26,2,"[8, 5]",f520d4ecbabf611bd0258542a6559662
5.64,30,2,"[10, 5]",f397593fe8dfa32998e32f850f40ccf5
5.46,30,2,"[4, 11]",8849727578ae0503f1a69740b30948e4
5.39,26,2,"[7, 6]",a47287c2f7d81d6ecebf076911c22b54
5.39,26,2,"[6, 7]",22a143768b55d26cc0ef7e7e8c519cde
5.75,30,2,"[9, 6]",287a6986abd08b957a53774a77c5d61c
5.46,30,2,"[11, 4]",9eb22100fde8fea348c79d36c7b4f5a3
5.17,30,2,"[3, 12]",4f0377b991f566ee2b2d788318e7d784
5.32,26,2,"[5, 8]",21ce0fbd77fcb8d958b362d56fc9d5b7
5.17,30,2,"[12, 3]",e51b0e3effb6154690bde8b7294ccafd
5.17,26,2,"[9, 4]",db24b34d7094a696925c03b721b68563
5.81,30,2,"[8, 7]",50636d7016d04b3bb0ff1de6866ecdce
5.58,38,2,"[16, 3]",74981fcef3cd3aceb07f5e3d4d49bcf2
5.91,38,2,"[4, 15]",37917e966e014a3b818f0b75e0fd2c66
5.64,30,2,"[5, 10]",4230dc6dec499124d44d1986fcac2385
5.58,38,2,"[3, 16]",33442bea18276afe27071baab874aa21
5.09,38,2,"[2, 17]",e96dd3c4f22398467e3ca3552bbccb15
5.81,30,2,"[7, 8]",eedd05bae0381e3f354b785f672bcb97
5.09,38,2,"[17, 2]",fc45c1754a99c0ab08448d8cbaef576b
5.75,30,2,"[6, 9]",d5b27c3a9be2251bc728bebe97567071
5.91,32,2,"[10, 6]",51ad655b42ca293ce8499b472edc97df
5.91,32,2,"[6, 10]",b3329f8b36c4031621f218988826e013
5.58,32,2,"[12, 4]",c5920fdfed06049bc46610dcf8ec0665
5.7,34,2,"[4, 13]",a20f117d7bea4243e054ea16c85175dc
5.58,32,2,"[4, 12]",a75e711b942c0e1afb5f95db97a03078
5.39,34,2,"[3, 14]",8643219132a58ed19f9aab78f7cba5c9
5.91,34,2,"[12, 5]",ed535bff5cd63fd9648d3317476f1b94
5.7,34,2,"[13, 4]",bd6336920df75ced8e95181c0ea3b93c
5.91,34,2,"[5, 12]",3c1bd6610d0d0eb694e615303f8784f6
5.17,26,2,"[4, 9]",ebfae8110b7d843c9f9e584f7a26dca6
5.39,46,2,"[2, 21]",6a8e96b9308a83fa655226aa92fd7509
5.46,48,2,"[2, 22]",ed0dea7f30626d327ee9ba8ad3ecf12e
5.46,48,2,"[22, 2]",44cb7a56e3ae6c0d675c6e48920564cb
5.75,22,4,"[3, 2, 3, 3]",0449bac3605338af5d0f2b040e9c8cee
5.75,22,4,"[3, 3, 2, 3]",e0c6d1a2d1d3d89a1a8b90babc957b82
5.75,22,4,"[2, 3, 3, 3]",e46990f04e38a681f6a6c0d4254d817a
5.75,22,4,"[3, 3, 3, 2]",01abfecbee27650cc9ea132307e829bd
5.25,42,2,"[2, 19]",d00f299295d297e7f2612bb79685bb15
5.75,42,2,"[18, 3]",d93ec3adf71d02142a891388af9eaa1d
5.83,44,2,"[19, 3]",5e6c5d49468aa7494d508a30885922da
5.83,44,2,"[3, 19]",d57f2b33b10b36cf4f73d1883d11063f
5.98,48,2,"[3, 21]",b6b09ecb9551a4abe8f271aa2403a227
5.98,48,2,"[21, 3]",126ec17db44639c74a5c777ac9e05d98
5.04,28,2,"[3, 11]",ed4a797ea7d6289bd86ab5022eb2da58
5.49,28,2,"[5, 9]",c180257de6772cabac1413d7bba15e2d
5.52,50,2,"[23, 2]",f652642f09104c1a4c375dbfd055b381
5.04,28,2,"[11, 3]",aa5caf7438f7986a8218831fe6687cd1
5.49,28,2,"[9, 5]",cc6874970eaf52d3415f4fcab1b6fff4
5.52,50,2,"[2, 23]",cf765ef856ae66de92bd958f8a9d7b97
5.61,28,2,"[7, 7]",9742a536430d62a946eeb7c605f1c6cf
5.0,24,2,"[4, 8]",ad254c4f0066fa041af2bf14edb99c38
5.17,40,2,"[2, 18]",3a3fd2a46c6049a52f26ba34fbb7a19f
5.17,40,2,"[18, 2]",7389b17b0cc80dce266cf4d1d94fb4a0
5.17,24,2,"[6, 6]",39ea3786497e1e2c236cec42d1c41a3f
5.0,24,2,"[8, 4]",be326b2688a9e1b5de10659765a5a77b
5.91,38,2,"[15, 4]",19bcf643a5ce373f0305b3d030d54469
5.25,42,2,"[19, 2]",8e630aeb7ae0d3ae09b6a1e8a6e2d667
